sister golden hair,america
lucy in the sky with diamonds,elton john
mandy,barry manilow
have you never been mellow,olivia newtonjohn
could it be magic,barry manilow
cats in the cradle,harry chapin
wildfire,michael martin murphey
im not lisa,jessi colter
listen to what the man said,wings
im not in love,10cc
i can help,billy swan
fallin in love,hamilton joe frank  reynolds
feelings,morris albert
chevy van,sammy johns
when will i be loved,linda ronstadt
youre the first the last my everything,barry white
please mr please,olivia newtonjohn
youre no good,linda ronstadt
dynomite,bazuka
walking in rhythm,the blackbyrds
the way we weretry to remember,gladys knight  the pips
midnight blue,melissa manchester
dont call us well call you,sugarloaf
poetry man,phoebe snow
how long,ace
express,bt express
thats the way of the world,earth wind  fire
lady,styx
bad time,grand funk
only women bleed,alice cooper
doctors orders,carol douglas
get down tonight,kc and the sunshine band
you are so beautiful,joe cocker
one man womanone woman man,paul anka  odia coates
feel like makin love,bad company
how sweet it is to be loved by you,james taylor
dance with me,orleans
cut the cake,average white band
never can say goodbye,gloria gaynor
i dont like to sleep alone,paul anka
morning side of the mountain,donny  marie osmond
some kind of wonderful,grand funk railroad
when will i see you again,the three degrees
get down get down get on the floor,joe simon
im sorry,john denver
killer queen,queen
shoeshine boy,eddie kendricks
do it til youre satisfied,bt express
cant get it out of my head,electric light orchestra
shalala make me happy,al green
lonely people,america
you got the love,rufus
the rockford files,mike post
it only takes a minute,tavares
no no song,ringo starr
juniors farm,paul mccartney  wings
bungle in the jungle,jethro tull
long tall glasses,leo sayer
someone saved my life tonight,elton john
misty,ray stevens
bad blood,neil sedaka  elton john
only yesterday,the carpenters
im on fire,dwight twilley band
only you and you alone,ringo starr
third rate romance,amazing rhythm aces
you aint seen nothing yet,bachmanturner overdrive
swearin to god,frankie valli
get dancin,discotex and the sexolettes
silly love songs,wings
dont go breaking my heart,elton john  kiki dee
disco lady,johnnie taylor
december 1963 oh what a night,the four seasons
play that funky music,wild cherry
kiss and say goodbye,the manhattans
love machine,the miracles
50 ways to leave your lover,paul simon
love is alive,gary wright
a fifth of beethoven,walter murphy  the big apple band
sara smile,hall  oates
afternoon delight,starland vocal band
i write the songs,barry manilow
fly robin fly,silver convention
love hangover,diana ross
get closer,seals and crofts
more more more,andrea true connection
bohemian rhapsody,queen
misty blue,dorothy moore
boogie fever,the sylvers
id really love to see you tonight,england dan  john ford coley
you sexy thing,hot chocolate
love hurts,nazareth
get up and boogie,silver convention
take it to the limit,eagles
shake shake shake shake your booty,kc and the sunshine band
sweet love,commodores
right back where we started from,maxine nightingale
theme from swat,rhythm heritage
love rollercoaster,ohio players
you should be dancing,bee gees
youll never find another love like mine,lou rawls
golden years,david bowie
moonlight feels right,starbuck
only sixteen,dr hook
let your love flow,the bellamy brothers
dream weaver,gary wright
turn the beat around,vicki sue robinson
lonely night angel face,captain  tennille
all by myself,eric carmen
love to love you baby,donna summer
deep purple,donny  marie osmond
theme from mahogany do you know where youre going to,diana ross
sweet thing,rufus
thats the way i like it,kc and the sunshine band
a little bit more,dr hook
shannon,henry gross
if you leave me now,chicago
lowdown,boz scaggs
show me the way live,peter frampton
dream on,aerosmith
i love music,the ojays
say you love me,fleetwood mac
times of your life,paul anka
devil woman,cliff richard
fooled around and fell in love,elvin bishop
convoy,c w mccall
welcome back,john sebastian
sing a song,earth wind  fire
heaven must be missing an angel,tavares
ill be good to you,the brothers johnson
rock and roll music,the beach boys
shop around,captain  tennille
saturday night,bay city rollers
island girl,elton john
lets do it again,the staple singers
let em in,wings
baby face,wing and a prayer fife and drum corps
this masquerade,george benson
evil woman,electric light orchestra
wham bam,silver
im easy,keith carradine
wake up everybody,harold melvin  the blue notes
summer,war
let her in,john travolta
fox on the run,sweet
rhiannon,fleetwood mac
got to get you into my life,the beatles
fanny be tender with my love,bee gees
getaway,earth wind  fire
shes gone,hall  oates
still the one,orleans
youre my best friend,queen
with your love,jefferson starship
slow ride,foghat
whod she coo,ohio players
the boys are back in town,thin lizzy
walk away from love,david ruffin
baby i love your way live,peter frampton
young hearts run free,candi staton
breaking up is hard to do,neil sedaka
money honey,bay city rollers
give up the funk tear the roof off the sucker,parliament
junk food junkie,larry groce
tryin to get the feeling again,barry manilow
rock and roll all nite live,kiss
disco duck,rick dees  his cast of idiots
take the money and run,steve miller band
squeeze box,the who
country boy you got your feet in la,glen campbell
tonights the night gonna be alright,rod stewart
i just want to be your everything,andy gibb
best of my love,the emotions
evergreen love theme from a star is born,barbra streisand
angel in your arms,hot
i like dreamin,kenny nolan
dont leave me this way,thelma houston
your love has lifted me higher and higher,rita coolidge
undercover angel,alan oday
torn between two lovers,mary macgregor
im your boogie man,kc and the sunshine band
dancing queen,abba
you make me feel like dancing,leo sayer
margaritaville,jimmy buffett
telephone line,electric light orchestra
whatcha gonna do,pablo cruise
do you wanna make love,peter mccann
sir duke,stevie wonder
hotel california,eagles
got to give it up,marvin gaye
gonna fly now,bill conti deetta little and nelson pigford
southern nights,glen campbell
rich girl,hall  oates
when i need you,leo sayer
hot line,the sylvers
car wash,rose royce
you dont have to be a star to be in my show,marilyn mccoo  billy davis jr
fly like an eagle,steve miller band
dont give up on us,david soul
on and on,stephen bishop
feels like the first time,foreigner
couldnt get it right,climax blues band
easy,commodores
right time of the night,jennifer warnes
ive got love on my mind,natalie cole
blinded by the light,manfred manns earth band
looks like we made it,barry manilow
so in to you,atlanta rhythm section
dreams,fleetwood mac
enjoy yourself,the jacksons
dazz,brick
im in you,peter frampton
lucille,kenny rogers
the things we do for love,10cc
da doo ron ron,shaun cassidy
handy man,james taylor
just a song before i go,crosby stills  nash
you and me,alice cooper
swayin to the music slow dancing,johnny rivers
lonely boy,andrew gold
i wish,stevie wonder
dont stop,fleetwood mac
barracuda,heart
strawberry letter 23,the brothers johnson
night moves,bob seger  the silver bullet band
youre my world,helen reddy
heard it in a love song,the marshall tucker band
carry on wayward son,kansas
new kid in town,eagles
my heart belongs to me,barbra streisand
after the lovin,engelbert humperdinck
jet airliner,steve miller band
stand tall,burton cummings
way down,elvis presley
weekend in new england,barry manilow
it was almost like a song,ronnie milsap
smoke from a distant fire,sanfordtownsend band
cold as ice,foreigner
ariel,dean friedman
lost without your love,bread
star wars themecantina band,meco
float on,the floaters
jeans on,lord david dundas
lido shuffle,boz scaggs
keep it comin love,kc and the sunshine band
you made me believe in magic,bay city rollers
livin thing,electric light orchestra
give a little bit,supertramp
thats rock n roll,shaun cassidy
love so right,bee gees
the rubberband man,the spinners
i never cry,alice cooper
nobody does it better,carly simon
high school dance,the sylvers
loves grown deep,kenny nolan
aint gonna bump no more with no big fat woman,joe tex
i wanna get next to you,rose royce
somebody to love,queen
muskrat love,captain  tennille
walk this way,aerosmith
cherchez la femme,dr buzzards original savannah band
year of the cat,al stewart
boogie nights,heatwave
go your own way,fleetwood mac
sorry seems to be the hardest word,elton john
dont worry baby,bj thomas
knowing me knowing you,abba
how much love,leo sayer
star wars main title,london symphony orchestra
devils gun,cj  company
shadow dancing,andy gibb
night fever,bee gees
you light up my life,debby boone
stayin alive,bee gees
kiss you all over,exile
how deep is your love,bee gees
baby come back,player
love is thicker than water,andy gibb
boogie oogie oogie,a taste of honey
three times a lady,commodores
grease,frankie valli
i go crazy,paul davis
youre the one that i want,john travolta  olivia newtonjohn
emotion,samantha sang
lay down sally,eric clapton
miss you,the rolling stones
just the way you are,billy joel
with a little luck,wings
if i cant have you,yvonne elliman
dance dance dance yowsah yowsah yowsah,chic
feels so good,chuck mangione
hot child in the city,nick gilder
love is like oxygen,sweet
its a heartache,bonnie tyler
we will rock youwe are the champions,queen
baker street,gerry rafferty
cant smile without you,barry manilow
too much too little too late,johnny mathis  deniece williams
dance with me,peter brown
two out of three aint bad,meat loaf
jack and jill,raydio
take a chance on me,abba
sometimes when we touch,dan hill
last dance,donna summer
hopelessly devoted to you,olivia newtonjohn
hot blooded,foreigner
youre in my heart the final acclaim,rod stewart
the closer i get to you,roberta flack  donny hathaway
dust in the wind,kansas
magnet and steel,walter egan
short people,randy newman
use ta be my girl,the ojays
our love,natalie cole
love will find a way,pablo cruise
an everlasting love,andy gibb
love is in the air,john paul young
goodbye girl,david gates
slip slidin away,paul simon
the groove line,heatwave
thunder island,jay ferguson
imaginary lover,atlanta rhythm section
still the same,bob seger  the silver bullet band
my angel baby,toby beau
disco inferno,the trammps
on broadway,george benson
come sail away,styx
every time i turn around back in love again,ltd
this time im in it for love,player
you belong to me,carly simon
here you come again,dolly parton
blue bayou,linda ronstadt
peg,steely dan
you needed me,anne murray
shame,evelyn champagne king
reminiscing,little river band
count on me,jefferson starship
baby hold on,eddie money
hey deanie,shaun cassidy
summer nights,john travolta  olivia newtonjohn
whats your name,lynyrd skynyrd
dont it make my brown eyes blue,crystal gayle
because the night,patti smith group
every kinda people,robert palmer
copacabana,barry manilow
always and forever,heatwave
you and i,rick james
serpentine fire,earth wind  fire
sentimental lady,bob welch
falling,leblanc  carr
dont let me be misunderstood,santa esmeralda
bluer than blue,michael johnson
running on empty,jackson browne
whenever i call you friend,kenny loggins  stevie nicks
fool if you think its over,chris rea
get off,foxy
sweet talkin woman,electric light orchestra
lifes been good,joe walsh
i love the nightlife,alicia bridges
you cant turn me off in the middle of turning me on,high inergy
its so easy,linda ronstadt
native new yorker,odyssey
flash light,parliament
dont look back,boston
turn to stone,electric light orchestra
i cant stand the rain,eruption
ebony eyes,bob welch
the name of the game,abba
were all alone,rita coolidge
hollywood nights,bob seger  the silver bullet band
deacon blues,steely dan
my sharona,the knack
bad girls,donna summer
le freak,chic
da ya think im sexy,rod stewart
reunited,peaches  herb
i will survive,gloria gaynor
hot stuff,donna summer
ymca,village people
ring my bell,anita ward
sad eyes,robert john
too much heaven,bee gees
macarthur park,donna summer
when youre in love with a beautiful woman,dr hook
makin it,david naughton
fire,the pointer sisters
tragedy,bee gees
a little more love,olivia newtonjohn
heart of glass,blondie
what a fool believes,the doobie brothers
good times,chic
you dont bring me flowers,neil diamond  barbra streisand
knock on wood,amii stewart
stumblin in,suzi quatro  chris norman
lead me on,maxine nightingale
shake your body down to the ground,the jacksons
dont cry out loud,melissa manchester
the logical song,supertramp
my life,billy joel
just when i needed you most,randy vanwarmer
you cant change that,raydio
shake your groove thing,peaches  herb
ill never love this way again,dionne warwick
love you inside out,bee gees
i want you to want me,cheap trick
the main eventfight,barbra streisand
mama cant buy you love,elton john
i was made for dancin,leif garrett
after the love has gone,earth wind  fire
heaven knows,donna summer and brooklyn dreams
the gambler,kenny rogers
lotta love,nicolette larson
lady,little river band
heaven must have sent you,bonnie pointer
hold the line,toto
hes the greatest dancer,sister sledge
sharing the night together,dr hook  the medicine show
she believes in me,kenny rogers
in the navy,village people
music box dancer,frank mills
the devil went down to georgia,the charlie daniels band
gold,john stewart
goodnight tonight,wings
we are family,sister sledge
rock n roll fantasy,bad company
every 1s a winner,hot chocolate
take me home,cher
boogie wonderland,earth wind  fire  the emotions
our love dont throw it all away,andy gibb
what you wont do for love,bobby caldwell
new york groove,ace frehley
sultans of swing,dire straits
i want your love,chic
chuck es in love,rickie lee jones
i love the nightlife,alicia bridges
aint no stoppin us now,mcfadden  whitehead
lonesome loser,little river band
renegade,styx
love is the answer,england dan  john ford coley
got to be real,cheryl lynn
born to be alive,patrick hernandez
shine a little love,electric light orchestra
i just fall in love again,anne murray
shake it,ian matthews
i was made for lovin you,kiss
i just wanna stop,gino vannelli
disco nights rockfreak,gq
ooo baby baby,linda ronstadt
september,earth wind  fire
time passages,al stewart
rise,herb alpert
dont bring me down,electric light orchestra
promises,eric clapton
get used to it,roger voudouris
how much i feel,ambrosia
suspicions,eddie rabbitt
you take my breath away,rex smith
how you gonna see me now,alice cooper
double vision,foreigner
everytime i think of you,the babys
i got my mind made up you can get it girl,instant funk
dont stop til you get enough,michael jackson
bad case of loving you doctor doctor,robert palmer
somewhere in the night,barry manilow
weve got tonight,bob seger  the silver bullet band
dance the night away,van halen
dancin shoes,nigel olsson
the boss,diana ross
sail on,commodores
i do love you,gq
strange way,firefall
call me,blondie
another brick in the wall part ii,pink floyd
magic,olivia newtonjohn
rock with you,michael jackson
do that to me one more time,captain  tennille
crazy little thing called love,queen
coming up,paul mccartney
funkytown,lipps inc
its still rock and roll to me,billy joel
the rose,bette midler
escape the pi~na colada song,rupert holmes
cars,gary numan
cruisin,smokey robinson
working my way back to youforgive me girl,the spinners
lost in love,air supply
little jeannie,elton john
ride like the wind,christopher cross
upside down,diana ross
please dont go,kc and the sunshine band
babe,styx
with you im born again,billy preston and syreeta
shining star,the manhattans
still,commodores
yes im ready,teri desario  kc
sexy eyes,dr hook
steal away,robbie dupree
biggest part of me,ambrosia
this is it,kenny loggins
cupidive loved you for a long time,the spinners
lets get serious,jermaine jackson
dont fall in love with a dreamer,kenny rogers  kim carnes
sailing,christopher cross
longer,dan fogelberg
coward of the county,kenny rogers
ladies night,kool  the gang
too hot,kool  the gang
take your time do it right,the sos band
no more tears enough is enough,barbra streisand  donna summer
more love,kim carnes
pop muzik,m
brass in pocket,the pretenders
special lady,ray goodman  brown
send one your love,stevie wonder
the second time around,shalamar
we dont talk anymore,cliff richard
heartache tonight,eagles
stomp,the brothers johnson
tired of toein the line,rocky burnette
better love next time,dr hook
him,rupert holmes
against the wind,bob seger and the silver bullet band
on the radio,donna summer
emotional rescue,the rolling stones
rise,herb alpert
all out of love,air supply
cool change,little river band
youre only lonely,jd souther
desire,andy gibb
let my love open the door,pete townshend
romeos tune,steve forbert
daydream believer,anne murray
i cant tell you why,eagles
dont let go,isaac hayes
dont do me like that,tom petty and the heartbreakers
shes out of my life,michael jackson
fame,irene cara
fire lake,bob seger
how do i make you,linda ronstadt
into the night,benny mardones
let me love you tonight,pure prairie league
misunderstanding,genesis
an american dream,the dirt band
one fine day,carole king
dim all the lights,donna summer
you may be right,billy joel
hurt so bad,linda ronstadt
shouldve never let you go,neil  dara sedaka
pilot of the airwaves,charlie dore
off the wall,michael jackson
i pledge my love,peaches  herb
the long run,eagles
stand by me,mickey gilley
heartbreaker,pat benatar
dej`a vu,dionne warwick
drivin my life away,eddie rabbitt
take the long way home,supertramp
sara,fleetwood mac
wait for me,hall  oates
jojo,boz scaggs
september morn,neil diamond
give me the night,george benson
broken hearted me,anne murray
you decorated my life,kenny rogers
tusk,fleetwood mac
i wanna be your lover,prince
in america,charlie daniels band
breakdown dead ahead,boz scaggs
ships,barry manilow
all night long,joe walsh
refugee,tom petty and the heartbreakers
bette davis eyes,kim carnes
endless love,diana ross  lionel richie
lady,kenny rogers
just like starting over,john lennon
jessies girl,rick springfield
celebration,kool  the gang
kiss on my list,hall  oates
i love a rainy night,eddie rabbitt
9 to 5,dolly parton
keep on loving you,reo speedwagon
theme from the greatest american hero believe it or not,joey scarbury
morning train nine to five,sheena easton
being with you,smokey robinson
queen of hearts,juice newton
rapture,blondie
a woman needs love just like you do,raydio
the tide is high,blondie
just the two of us,grover washington jr  bill withers
slow hand,the pointer sisters
i love you,climax blues band
woman,john lennon
sukiyaki,a taste of honey
the winner takes it all,abba
stars on 45 medley,stars on 45
angel of the morning,juice newton
love on the rocks,neil diamond
every woman in the world,air supply
the one that you love,air supply
guilty,barbra streisand  barry gibb
the best of times,styx
elvira,the oak ridge boys
take it on the run,reo speedwagon
theres no gettin over me,ronnie milsap
living inside myself,gino vannelli
woman in love,barbra streisand
the boy from new york city,the manhattan transfer
urgent,foreigner
passion,rod stewart
lady you bring me up,commodores
crying,don mclean
hearts,marty balin
its my turn,diana ross
you make my dreams,hall  oates
i dont need you,kenny rogers
how bout us,champaign
hit me with your best shot,pat benatar
the breakup song they dont write em,the greg kihn band
time,the alan parsons project
hungry heart,bruce springsteen
sweetheart,franke and the knockouts
somebodys knockin,terri gibbs
more than i can say,leo sayer
together,tierra
too much time on my hands,styx
what are we doin in love,dottie west  kenny rogers
whos crying now,journey
de do do do de da da da,the police
this little girl,gary us bonds
stop draggin my heart around,stevie nicks  tom petty
giving it up for your love,delbert mcclinton
a little in love,cliff richard
america,neil diamond
aint even done with the night,john cougar
arthurs theme best that you can do,christopher cross
another one bites the dust,queen
games people play,the alan parsons project
i cant stand it,eric clapton
while you see a chance,steve winwood
master blaster jammin,stevie wonder
hello again,neil diamond
dont stand so close to me,the police
hey nineteen,steely dan
i aint gonna stand for it,stevie wonder
all those years ago,george harrison
step by step,eddie rabbitt
the stroke,billy squier
feels so right,alabama
sweet baby,george duke  stanley clarke
same old lang syne,dan fogelberg
cool love,pablo cruise
hold on tight,electric light orchestra
its now or never,john schneider
treat me right,pat benatar
winning,santana
what kind of fool,barbra streisand  barry gibb
watching the wheels,john lennon
tell it like it is,heart
smoky mountain rain,ronnie milsap
i made it through the rain,barry manilow
youve lost that lovin feelin,hall  oates
suddenly,olivia newtonjohn  cliff richard
for your eyes only,sheena easton
the beach boys medley,the beach boys
whip it,devo
modern girl,sheena easton
really wanna know you,gary wright
seven year ache,rosanne cash
im coming out,diana ross
miss sun,boz scaggs
time is time,andy gibb
